( BQMW_3X10 " Lèfini, Jeremi kite Tofèt kote Seyè a te voye l al bay mesaj li a, li al kanpe nan gwo lakou Tanp lan. " )
( BQMW_3X21 " Yo pral ranmase dènye moun ki rete nan peyi Izrayèl la, menm jan yo ranmase dènye grap rezen lè rekòt fini. " )
( BQMW_3X06 " Ki moun ki ka konte valè pitit Jakòb genyen? " )
( BQMW_3X24 " sakrifis sa a te enpòtan anpil, paske eleksyon se youn nan dwa ak devwa fondalnatal sitwayen nan peyi a. " )
( BQMW_3X22 " Moyiz pran tant lan, li mete l yon ti distans an deyò limit kan kote yo te enstale a. " )
( BQMW_3X16 " Kache nou pou moun ki chita sou fòtèy la pa wè nou, pou kòlè ti Mouton an pa tonbe sou nou. " )
( BQMW_3X05 " Avèk ladrès li, li kraze Raab, gwo bèt lèd la. " )
( BQMW_3X03 " Lè sa a, Jezi di mwen vin sou tè a pou yon jijman moun ki avèg yo pral wè. " )
( BQMW_3X17 " Moyiz ak Jozye, pitit gason Noun lan, te repete tout pawòl chante sa a byen fò pou tout pèp la te tande. " )
( BQMW_3X15 " M ta byen renmen kenbe l bò kote m, pou l te ka sèvi m nan plas ou, pandan m nan prizon pou bòn nouvèl la. " )
( BQMW_3X25 " Daprè Dichatelye, li pa sifi ditou pou pèmèt fakilte yo fonksyone nòmalman, alewè poul modènize yo. " )
( BQMW_3X23 " Netwaye sal la anvan reyinyon an. " )
( BQMW_3X13 " Aprè sa, wa Akaz fè demoute kabwa an kwiv yo. " )
( BQMW_3X07 " Nan menm moman sa, popilasyon an te leve kanpe e mete dife nan yon pikòp devan pak Sen viktò an. " )
( BQMW_3X14 " Yo te menm rive vyole yon ti demwazèl 14 oswa 15 zan. " )
( BQMW_3X09 " Jezi t ap devlope, li te vin gen plis lespri toujou, li t ap aji yon jan ki te fè ni Bondye ni lèzòm plezi. " )
( BQMW_3X04 " Nou te esklav farawon an nan peyi Lejip. " )
( BQMW_3X19 " Oubyen tankou yon ti legliz ki nan premyè etap yo ? " )
( BQMW_3X20 " Lè sa a, zanj lan te gen tan touprè glasi Onan an, moun lavil Jebis la. " )
( BQMW_3X08 " Te gen 3000 moun konsa, fanm kou gason, anwo twati a ki t ap gade Samson, ki t ap pran plezi yo ak li. " )
( BQMW_3X02 " Lè Prisil ak Akilas tande l, yo pran l avèk yo epi yo fin moutre li chemen Bondye a yon jan ki pi korèk. " )
( BQMW_3X12 " Aprè sa, moun lan ap toujou gen pou l ofri bay Bondye yon belye mouton pou repare sa l te fè ki mal la. " )
( BQMW_3X01 " Depi nou ofri sa ki pi bon an bay Seyè a, nou mèt manje rès la san kè sote, anyen pap rive nou. " )
( BQMW_3X11 " Yon jou, Jozèf vin pou fè travay li nan kay la. " )
( BQMW_3X18 " Joram, pitit Akab la, t ap mache sou 11 zan depi li te wa peyi Izrayèl lè Okozyas te moute wa nan peyi Jida. " )
( BOFW_3Z22 " Paske se ou menm ki pral alatèt pèp la pou l antre pran peyi Seyè a te fè sèman l ap bay zansèt yo a. " )
( BOFW_3Z20 " Lè yon bèf touye yon gason osinon yon fanm ak koutkòn, se pou yo touye l ak koutwòch. " )
( BOFW_3Z10 " Moun yo p ap bezwen ni limyè lanp ni limyè solèy, paske Mèt la, Bondye, va klere yo, li va yon limyè pou yo. " )
( BOFW_3Z18 " Kwake pwemye 9 chapit yo kontinye konekte, chapit 10 a 22 se yon koleksyon de plizyè konsèy . " )
